snapshot_hour_utc,n_trades,win_rate,gross_pnl,net_pnl
4,507,0.7218934911242604,190.10932252092752,176.28782252092753
12,452,0.6858407079646017,203.78307598192748,189.8625259819275
20,296,0.38513513513513514,28.153608623232888,14.696458623232886
