group,n,brier_model_prob_raw,logloss_model_prob_raw,ece_model_prob_raw,brier_model_prob_recal,logloss_model_prob_recal,ece_model_prob_recal,brier_market_prob,logloss_market_prob,ece_market_prob,brier_blend_75m_25mk,logloss_blend_75m_25mk,ece_blend_75m_25mk,brier_blend_50_50,logloss_blend_50_50,ece_blend_50_50,brier_blend_25m_75mk,logloss_blend_25m_75mk,ece_blend_25m_75mk
ALL,918,0.10215480494251633,0.3122581065513859,0.06595087332905082,0.1007723832482058,0.35787195380348596,0.05298148440916019,0.10025106209150327,0.3077530120329825,0.010593681917211327,0.09335481414453314,0.286072698107567,0.05424800729336309,0.09079540425052517,0.2800643634356482,0.05282991172164724,0.09309415356618188,0.28757998586851585,0.04029865120392727
contract_type=bin_between,612,0.13998592582655925,0.4201147356713368,0.10615816789534327,0.13668446312820903,0.4727086257839123,0.09355969544045142,0.13090277777777778,0.3982705433299037,0.009117647058823525,0.12791074873743077,0.38313800186757946,0.0780935703640943,0.12402256304876616,0.37334637174497637,0.06547653857422421,0.12501990606221516,0.3796840418321235,0.04068296869789459
contract_type=threshold_greater,153,0.01650696598969156,0.06854123553831123,0.04597595668532624,0.01942480775903818,0.10109138517693275,0.05429409027667073,0.029027450980392153,0.09383890519218445,0.04098039215686275,0.01570046800639857,0.07050410314958225,0.05223734318372697,0.016059461959077703,0.07138402258447993,0.046057018294006366,0.020501789617075564,0.07851098731499452,0.04766335182495023
contract_type=threshold_less,153,0.03647816035916956,0.12454846108465706,0.02647007841097958,0.03847163921736042,0.155305834508332,0.03405679155934004,0.04886781045751634,0.15959699368609484,0.014803921568627452,0.03278542191107712,0.11338007802550358,0.035385491291539194,0.03262271134900866,0.11561667104950339,0.04332505755512084,0.03798350753115507,0.12823276056760824,0.04803908104321088
city=austin,102,0.0967635732133883,0.28407863385188203,0.0772383836529932,0.09353139449232444,0.3158199876119448,0.06685860806345459,0.08443088235294118,0.2677603585629722,0.049901960784313734,0.08422074550652774,0.252429655169995,0.07189473251058974,0.07960044382136494,0.2443759582832988,0.07183648472541446,0.07967048943683609,0.25022476338335753,0.05383287764605107
city=boston,102,0.09027240414201317,0.28310639244626457,0.06371784283136032,0.08811913242186563,0.28864816657543024,0.026406156652463323,0.11642647058823528,0.35483279263573414,0.06549019607843137,0.08756371429928682,0.28325833220254154,0.039389550376485,0.09209646461948885,0.29484086967589535,0.05193305797492809,0.10171738338247166,0.3168244011381092,0.04671931391147927
city=chicago,102,0.12384953689420404,0.4005746917486171,0.0748065216726316,0.13966541392353707,0.5811958149357117,0.11477734806438641,0.10957573529411764,0.3412147673364554,0.0444607843137255,0.12564559135447065,0.3879721581927473,0.09239166257655097,0.11595737072654529,0.3547815836783198,0.07662564862563027,0.11060075203976094,0.34207539714446866,0.060099674251380436
city=denver,102,0.11366420151896467,0.34190207980275494,0.06767917775534552,0.12731148606959883,0.4651114496851419,0.10777965975227867,0.08977230392156862,0.2840602432207315,0.06710784313725492,0.11007228295022033,0.3178859499100344,0.09081572311700957,0.09806935155242247,0.2918059781974314,0.07152078578002652,0.09130269187620524,0.28255367188066566,0.07527567026984426
city=la,102,0.08996782189356768,0.2761024989198145,0.07624422623963784,0.07934684980178389,0.2587356362026011,0.035882267484594346,0.08709534313725491,0.2718653967902598,0.04357843137254903,0.07265936942219076,0.23254406563804003,0.0655096097305658,0.07172162485157156,0.2328577934124001,0.08660736843253798,0.07653361608992627,0.2447529424139519,0.08461782231000226
city=miami,102,0.09356826324076181,0.3079454566361801,0.08315744394481661,0.08573230571547297,0.3542746465593137,0.06824075401941752,0.10879289215686273,0.32721693513098066,0.03769607843137256,0.08045808293523428,0.2621717025710242,0.0918174516630368,0.08254343974871968,0.26562077424207325,0.05214187324088262,0.09198837615592917,0.28717242733393883,0.07778943322671629
