resample_id,net_pnl
0,121.16423415242318
1,211.72497304752233
2,149.85553728496103
3,210.24674212445746
4,307.7707757967948
5,198.34646511719745
6,158.46014324787666
7,156.23748378788827
8,157.45288048439963
9,125.9537541867912
10,101.06576050771808
11,176.52092951951198
12,226.54632618332187
13,208.47350674277686
14,206.12965181325097
15,183.10214880175465
16,176.5895925071398
17,239.2948592955666
18,269.56930328435567
19,211.13657501622808
20,141.37382829931676
21,209.58460319870287
22,184.74271357194317
23,98.78871447137762
24,204.15330858595678
25,216.40379948742327
26,139.54077280486177
27,180.2042860634206
28,136.6469854518378
29,147.99834387175827
30,193.93574516938463
31,212.14481929728856
32,164.80169025622925
33,170.39920315658523
34,161.88424207907127
35,191.17769955766158
36,182.8603272816574
37,207.0118969426826
38,159.39610462819658
39,219.95837293568582
40,304.4414236844013
41,162.0712173893765
42,129.58063586441034
43,234.45818055578047
44,161.8380171804557
45,148.16702218108767
46,253.45783672871502
47,220.44732385582327
48,223.42446740106033
49,143.04986797730558
50,135.57667539665252
51,142.09152854931602
52,209.4541446977205
53,140.72394010800045
54,250.1531740628232
55,252.40648757228456
56,204.24110003737636
57,197.48890190908313
58,253.6267331910555
59,200.67120747126222
60,203.50773372908893
61,230.58538167030588
62,162.23801432363035
63,133.94841844707722
64,173.25938301810115
65,255.425411841844
66,200.45914168783793
67,158.2814186699214
68,207.2055188436406
69,140.58829525883837
70,198.68785596495184
71,248.94916884901502
72,162.27829098112682
73,243.67681919036227
74,155.34520731119204
75,189.2984030312668
76,85.07520443636665
77,163.52037734254174
78,254.4385194259516
79,238.04849811632147
80,187.81678190588468
81,168.65129798215506
82,195.43555528893225
83,189.8110325054846
84,233.96073412524464
85,218.5157380019
86,117.84030675399987
87,302.04691325549885
88,162.82196591958817
89,196.88764401753903
90,169.61793950879638
91,194.26920710852355
92,201.133051421468
93,175.0436054412901
94,212.32097532975942
95,166.9974905094444
96,246.25079682107588
97,174.49894828404
98,160.50347571114224
99,181.97350325876775
100,146.7527333111106
101,194.29492114695455
102,91.36363297610343
103,137.87456877774724
104,176.9594833283414
105,237.9594009620834
106,173.42671213270884
107,190.07901553667227
108,156.6486413178739
109,199.47297148082473
110,173.95229030620735
111,210.41367823375793
112,199.1697187131451
113,154.1173109958472
114,203.62135360962748
115,195.20062503512088
116,184.67890270105647
117,253.73447774610085
118,210.28194855973067
119,267.7045725663325
120,170.0143222533647
121,197.1251034030323
122,213.50246600561292
123,204.54192056130603
124,179.8565705494191
125,83.13916935419105
126,143.4073257830242
127,153.59164474336026
128,229.72708155817176
129,202.70580393700524
130,199.4671873879343
131,257.9257130475108
132,179.90506586967237
133,126.40400129352945
134,147.2992682681599
135,139.97223394757333
136,135.1021715681587
137,173.3391554328829
138,317.61695524044524
139,188.72915044478864
140,245.59056129608229
141,166.6371430412984
142,260.07341483739566
143,247.25002111691433
144,212.41824193304686
145,194.0597027497729
146,192.27016590253706
147,138.8084262429988
148,177.32863337242605
149,213.51514460769016
150,133.64931828808986
151,154.88737336998554
152,209.31700115272182
153,229.45599876859708
154,200.60004165932375
155,164.48451453937892
156,161.36253590886594
157,207.62935180845545
158,203.45041600572182
159,206.71697225273394
160,215.35196533332672
161,228.82061740098823
162,143.73807747291946
163,282.48959757468043
164,196.68577599181242
165,145.36875629825016
166,201.29891106971738
167,248.16216467773017
168,152.73017471851213
169,215.7392062796272
170,245.4391037045235
171,139.25949611492888
172,226.46158944121595
173,182.06491854615982
174,220.1916143652392
175,177.87535141869324
176,103.37372609090627
177,159.84212269793318
178,166.16865181058046
179,174.94113470485289
180,192.79246669223144
181,169.65119104435243
182,202.39029553605943
183,218.08889779112212
184,191.5297620291578
185,159.62132115252385
186,75.92419160541105
187,173.9617899093758
188,226.3081996442576
189,174.52471197437322
190,179.20083749629805
191,176.56029731918088
192,157.83905496655927
193,191.10495730572077
194,230.38909886379938
195,183.05093796392165
196,205.59554625236845
197,176.05729366192662
198,151.07699903867004
199,196.84155205974068
200,205.6656529924827
201,193.62934973052714
202,185.6249508806984
203,196.57070879473483
204,208.7753156914407
205,240.4854886307698
206,177.1642896963358
207,206.02513534891955
208,114.60827685403997
209,191.13440822598707
210,112.36805918675121
211,159.17389331002545
212,162.34347937911883
213,193.55132871309647
214,195.25322034006473
215,185.4499089135509
216,275.7134269249757
217,171.49259577478142
218,203.8632401418515
219,203.78218841126818
220,302.7456711522204
