edge_threshold,price_filter,prob_source,size_style,cost_model,n_trades,win_rate,avg_edge,gross_pnl,net_pnl,risk,roi_on_risk,max_drawdown,best_city,worst_city,best_strike_zone,worst_strike_zone
0.03,all,model_prob_raw,flat_1,gross,553,0.6708860759493671,0.19041891766086555,48.765,48.765,322.235,0.151333654010272,2.7799999999999994,miami,phoenix,bin_between,threshold_greater
0.03,all,model_prob_raw,flat_1,spread_2c,553,0.6708860759493671,0.19041891766086555,48.765,37.705,322.235,0.11701087715487143,3.5200000000000014,miami,chicago,bin_between,threshold_greater
0.03,all,model_prob_raw,flat_1,fee_kalshi,553,0.6708860759493671,0.19041891766086555,48.765,42.78655725,322.235,0.13278060188992505,3.1833574999999996,miami,phoenix,bin_between,threshold_greater
0.03,all,model_prob_raw,dollar_risk_1,gross,541,0.6857670979667283,0.19296395996320445,181.33208780164398,181.33208780164398,541.0,0.33517945989213305,11.605516085967665,boston,la,bin_between,threshold_greater
0.03,all,model_prob_raw,dollar_risk_1,spread_2c,541,0.6857670979667283,0.19296395996320445,181.33208780164398,128.57996373781242,541.0,0.23767091263920964,14.156229703512608,phoenix,denver,bin_between,threshold_greater
0.03,all,model_prob_raw,dollar_risk_1,fee_kalshi,541,0.6857670979667283,0.19296395996320445,181.33208780164398,166.01363780164397,541.0,0.3068643951971238,12.531266085967644,boston,la,bin_between,threshold_greater
0.03,all,model_prob_raw,kelly_quarter,gross,553,0.6708860759493671,0.19041891766086555,24766.072665696778,24766.072665696778,84802.04207871523,0.2920457109123426,1023.1284062138674,boston,denver,bin_between,threshold_greater
0.03,all,model_prob_raw,kelly_quarter,spread_2c,553,0.6708860759493671,0.19041891766086555,24766.072665696778,19571.675537907417,84802.04207871523,0.23079250284728442,1417.5376215790445,boston,denver,bin_between,threshold_greater
0.03,all,model_prob_raw,kelly_quarter,fee_kalshi,553,0.6708860759493671,0.19041891766086555,24766.072665696778,22923.293590033754,84802.04207871523,0.2703153488775167,1102.4020646141203,boston,denver,bin_between,threshold_greater
0.03,all,model_prob_recal,flat_1,gross,521,0.6928982725527831,0.2066845600774069,55.730000000000004,55.730000000000004,305.27,0.1825597012480755,3.42499999999999,philadelphia,chicago,bin_between,threshold_greater
0.03,all,model_prob_recal,flat_1,spread_2c,521,0.6928982725527831,0.2066845600774069,55.730000000000004,45.309999999999995,305.27,0.14842598355554099,4.125,philadelphia,chicago,bin_between,threshold_greater
0.03,all,model_prob_recal,flat_1,fee_kalshi,521,0.6928982725527831,0.2066845600774069,55.730000000000004,49.922387,305.27,0.1635351885216366,3.814439750000002,philadelphia,chicago,bin_between,threshold_greater
0.03,all,model_prob_recal,dollar_risk_1,gross,517,0.6982591876208898,0.20742601459667726,193.81905013368558,193.81905013368558,517.0,0.3748917797556781,12.370982944398321,boston,denver,bin_between,threshold_greater
0.03,all,model_prob_recal,dollar_risk_1,spread_2c,517,0.6982591876208898,0.20742601459667726,193.81905013368558,149.74641105983562,517.0,0.2896448956669935,14.946332125687377,boston,denver,bin_between,threshold_greater
0.03,all,model_prob_recal,dollar_risk_1,fee_kalshi,517,0.6982591876208898,0.20742601459667726,193.81905013368558,178.9965501336856,517.0,0.3462215669897207,13.251232944398296,boston,denver,bin_between,threshold_greater
0.03,all,model_prob_recal,kelly_quarter,gross,521,0.6928982725527831,0.2066845600774069,27161.516337660138,27161.516337660138,84070.59246286833,0.32307987302048136,1159.621458123044,boston,chicago,bin_between,threshold_greater
0.03,all,model_prob_recal,kelly_quarter,spread_2c,521,0.6928982725527831,0.2066845600774069,27161.516337660138,22288.256784856887,84070.59246286833,0.26511359242176147,1562.8400205689663,miami,chicago,bin_between,threshold_greater
0.03,all,model_prob_recal,kelly_quarter,fee_kalshi,521,0.6928982725527831,0.2066845600774069,27161.516337660138,25277.069861154378,84070.59246286833,0.3006648236994234,1238.370636840245,boston,chicago,bin_between,threshold_greater
