city,source,target_date,residual_f
austin,multi_blend_equal,,-0.2505
austin,multi_blend_equal,,-0.4955
austin,multi_blend_equal,,-0.2405
austin,multi_blend_equal,,-1.2655
austin,multi_blend_equal,,-0.4905
austin,multi_blend_equal,,-1.1655
austin,multi_blend_equal,,-0.3105
austin,multi_blend_equal,,-0.9105
austin,multi_blend_equal,,0.1895
austin,multi_blend_equal,,-0.6905
austin,multi_blend_equal,,0.4895
austin,multi_blend_equal,,0.1245
austin,multi_blend_equal,,-3.7455
austin,multi_blend_equal,,-0.5605
austin,multi_blend_equal,,1.4595
austin,multi_blend_equal,,1.6295
austin,multi_blend_equal,,1.8645
austin,multi_blend_equal,,1.6845
austin,multi_blend_equal,,4.0345
austin,multi_blend_equal,,1.2845
austin,multi_blend_equal,,2.3845
austin,multi_blend_equal,,0.6545
austin,multi_blend_equal,,0.2945
austin,multi_blend_equal,,-0.6105
austin,multi_blend_equal,,0.7045
austin,multi_blend_equal,,0.4995
austin,multi_blend_equal,,-1.0255
austin,multi_blend_equal,,-0.7605
austin,multi_blend_equal,,-1.5005
austin,multi_blend_equal,,1.9095
austin,multi_blend_equal,,3.1945
austin,multi_blend_equal,,0.5795
austin,multi_blend_equal,,-0.2605
austin,multi_blend_equal,,1.1545
austin,multi_blend_equal,,0.3295
austin,multi_blend_equal,,-0.6855
austin,multi_blend_equal,,1.8495
austin,multi_blend_equal,,-0.9305
austin,multi_blend_equal,,-0.4155
austin,multi_blend_equal,,-4.8155
austin,multi_blend_equal,,-0.1705
austin,multi_blend_equal,,1.8695
austin,multi_blend_equal,,1.4845
austin,multi_blend_equal,,0.0545
austin,multi_blend_equal,,-0.0605
austin,multi_blend_equal,,-2.6005
austin,multi_blend_equal,,-1.8455
austin,multi_blend_equal,,-1.1405
austin,multi_blend_equal,,-2.0805
austin,multi_blend_equal,,-1.4455
austin,multi_blend_equal,,2.4695
austin,multi_blend_equal,,0.8345
austin,multi_blend_equal,,-0.8605
austin,multi_blend_equal,,-0.3305
austin,multi_blend_equal,,-0.8805
austin,multi_blend_equal,,2.4345
austin,multi_blend_equal,,2.6595
austin,multi_blend_equal,,1.3345
austin,multi_blend_equal,,0.6345
austin,multi_blend_equal,,1.1845
austin,multi_blend_equal,,1.6295
austin,multi_blend_equal,,0.2495
austin,multi_blend_equal,,-0.7405
austin,multi_blend_equal,,-0.4655
austin,multi_blend_equal,,-0.7955
austin,multi_blend_equal,,-0.9955
austin,multi_blend_equal,,-2.4705
austin,multi_blend_equal,,3.2545
austin,multi_blend_equal,,3.5645
austin,multi_blend_equal,,3.3145
austin,multi_blend_equal,,2.7245
austin,multi_blend_equal,,1.0745
austin,multi_blend_equal,,0.9045
austin,multi_blend_equal,,-0.6705
austin,multi_blend_equal,,-0.8655
austin,multi_blend_equal,,0.3245
austin,multi_blend_equal,,-1.5605
austin,multi_blend_equal,,1.2245
austin,multi_blend_equal,,0.3895
austin,multi_blend_equal,,0.0445
austin,multi_blend_equal,,-1.6705
austin,multi_blend_equal,,-1.4505
austin,multi_blend_equal,,-0.1655
austin,multi_blend_equal,,1.4245
austin,multi_blend_equal,,1.4145
austin,multi_blend_equal,,1.1695
austin,multi_blend_equal,,-2.0855
austin,multi_blend_equal,,0.2345
austin,multi_blend_equal,,0.6195
austin,multi_blend_equal,,-1.9205
austin,multi_blend_equal,,-0.3655
austin,multi_blend_equal,,-1.4455
austin,multi_blend_equal,,-3.6955
austin,multi_blend_equal,,0.9895
austin,multi_blend_equal,,0.2295
austin,multi_blend_equal,,-0.4355
austin,multi_blend_equal,,-1.1505
austin,multi_blend_equal,,-0.0255
austin,multi_blend_equal,,-3.0605
austin,multi_blend_equal,,-1.1405
austin,multi_blend_equal,,-3.1905
austin,multi_blend_equal,,0.2095
austin,multi_blend_equal,,-1.3705
austin,multi_blend_equal,,2.3645
austin,multi_blend_equal,,1.1945
austin,multi_blend_equal,,-0.1155
austin,multi_blend_equal,,-0.2805
austin,multi_blend_equal,,-1.6855
austin,multi_blend_equal,,-2.3955
austin,multi_blend_equal,,-0.5605
austin,multi_blend_equal,,-2.5405
austin,multi_blend_equal,,-0.3455
austin,multi_blend_equal,,-2.7705
austin,multi_blend_equal,,-5.7955
austin,multi_blend_equal,,-2.8905
austin,multi_blend_equal,,-2.5605
austin,multi_blend_equal,,1.5645
austin,multi_blend_equal,,-3.2355
austin,multi_blend_equal,,-0.1855
austin,multi_blend_equal,,0.1795
austin,multi_blend_equal,,-0.7405
austin,multi_blend_equal,,-3.4405
austin,multi_blend_equal,,-4.9405
austin,multi_blend_equal,,-1.4205
austin,multi_blend_equal,,-1.1805
austin,multi_blend_equal,,-1.6005
austin,multi_blend_equal,,0.6995
austin,multi_blend_equal,,0.2595
austin,multi_blend_equal,,-0.5805
austin,multi_blend_equal,,-0.2405
austin,multi_blend_equal,,0.3595
austin,multi_blend_equal,,-0.0405
austin,multi_blend_equal,,-0.6205
austin,multi_blend_equal,,-1.2605
austin,multi_blend_equal,,-2.5605
austin,multi_blend_equal,,0.0995
austin,multi_blend_equal,,-0.1405
austin,multi_blend_equal,,-0.4005
austin,multi_blend_equal,,-2.2805
austin,multi_blend_equal,,0.6795
austin,multi_blend_equal,,0.7195
austin,multi_blend_equal,,-0.7405
austin,multi_blend_equal,,-1.2205
austin,multi_blend_equal,,-2.4405
austin,multi_blend_equal,,0.0595
austin,multi_blend_equal,,0.3795
austin,multi_blend_equal,,-1.5005
austin,multi_blend_equal,,-1.0005
austin,multi_blend_equal,,-0.5405
austin,multi_blend_equal,,-1.3005
austin,multi_blend_equal,,-0.6405
austin,multi_blend_equal,,-0.3805
austin,multi_blend_equal,,-1.3405
austin,multi_blend_equal,,-1.2605
austin,multi_blend_equal,,-1.0005
austin,multi_blend_equal,,-2.2405
austin,multi_blend_equal,,-3.1805
austin,multi_blend_equal,,-3.9805
austin,multi_blend_equal,,-1.2205
austin,multi_blend_equal,,-0.6805
austin,multi_blend_equal,,0.9595
austin,multi_blend_equal,,-2.2405
austin,multi_blend_equal,,0.4995
austin,multi_blend_equal,,-1.7405
austin,multi_blend_equal,,-1.2605
austin,multi_blend_equal,,0.1195
austin,multi_blend_equal,,2.2795
austin,multi_blend_equal,,-2.2805
austin,multi_blend_equal,,1.4195
austin,multi_blend_equal,,0.5595
austin,multi_blend_equal,,-0.3405
austin,multi_blend_equal,,-1.6805
austin,multi_blend_equal,,-1.8005
austin,multi_blend_equal,,-0.8205
austin,multi_blend_equal,,-1.2005
austin,multi_blend_equal,,-1.8205
austin,multi_blend_equal,,-1.1005
austin,multi_blend_equal,,0.1395
austin,multi_blend_equal,,-1.1805
austin,multi_blend_equal,,0.4195
austin,multi_blend_equal,,-1.0405
austin,multi_blend_equal,,0.3995
austin,multi_blend_equal,,1.5195
austin,multi_blend_equal,,0.4395
austin,multi_blend_equal,,-1.6605
austin,multi_blend_equal,,1.0195
austin,multi_blend_equal,,1.7595
austin,multi_blend_equal,,0.8195
austin,multi_blend_equal,,-0.3805
austin,multi_blend_equal,,-2.6005
austin,multi_blend_equal,,-1.4405
austin,multi_blend_equal,,-1.5405
austin,multi_blend_equal,,1.4395
austin,multi_blend_equal,,2.6395
austin,multi_blend_equal,,6.4595
austin,multi_blend_equal,,0.7995
austin,multi_blend_equal,,2.4195
austin,multi_blend_equal,,2.3395
austin,multi_blend_equal,,2.3195
austin,multi_blend_equal,,0.0595
austin,multi_blend_equal,,0.0395
austin,multi_blend_equal,,-0.0605
austin,multi_blend_equal,,1.2395
austin,multi_blend_equal,,-0.3805
austin,multi_blend_equal,,1.1395
austin,multi_blend_equal,,-0.7005
austin,multi_blend_equal,,-0.3205
austin,multi_blend_equal,,1.2995
austin,multi_blend_equal,,-1.3605
austin,multi_blend_equal,,-0.7605
austin,multi_blend_equal,,-2.3405
austin,multi_blend_equal,,-2.8405
austin,multi_blend_equal,,2.7595
austin,multi_blend_equal,,-0.0205
austin,multi_blend_equal,,-0.1005
austin,multi_blend_equal,,-1.1205
austin,multi_blend_equal,,-0.9605
austin,multi_blend_equal,,-0.3605
austin,multi_blend_equal,,0.3795
austin,multi_blend_equal,,1.1195
austin,multi_blend_equal,,2.8195
austin,multi_blend_equal,,0.0595
austin,multi_blend_equal,,0.4595
austin,multi_blend_equal,,-0.6605
austin,multi_blend_equal,,-1.3205
austin,multi_blend_equal,,-1.7405
austin,multi_blend_equal,,0.1795
austin,multi_blend_equal,,2.3795
austin,multi_blend_equal,,0.6995
austin,multi_blend_equal,,-0.6405
austin,multi_blend_equal,,-1.0805
austin,multi_blend_equal,,-2.0005
austin,multi_blend_equal,,1.3995
austin,multi_blend_equal,,0.4595
austin,multi_blend_equal,,2.4395
austin,multi_blend_equal,,-1.2805
austin,multi_blend_equal,,1.8995
austin,multi_blend_equal,,3.9195
austin,multi_blend_equal,,3.9595
austin,multi_blend_equal,,-0.2805
austin,multi_blend_equal,,-0.2405
austin,multi_blend_equal,,0.0995
austin,multi_blend_equal,,1.7195
austin,multi_blend_equal,,0.0795
austin,multi_blend_equal,,0.5395
austin,multi_blend_equal,,0.5795
austin,multi_blend_equal,,1.1395
austin,multi_blend_equal,,1.1595
austin,multi_blend_equal,,1.5995
austin,multi_blend_equal,,2.3395
austin,multi_blend_equal,,0.5995
austin,multi_blend_equal,,-0.5605
austin,multi_blend_equal,,2.2595
austin,multi_blend_equal,,0.2595
austin,multi_blend_equal,,-1.0805
austin,multi_blend_equal,,2.6595
austin,multi_blend_equal,,1.3795
austin,multi_blend_equal,,0.4395
austin,multi_blend_equal,,-1.6405
austin,multi_blend_equal,,2.7995
austin,multi_blend_equal,,0.4595
austin,multi_blend_equal,,1.8995
austin,multi_blend_equal,,1.7995
austin,multi_blend_equal,,-0.0005
austin,multi_blend_equal,,0.7995
austin,multi_blend_equal,,1.2595
austin,multi_blend_equal,,0.6795
austin,multi_blend_equal,,0.6595
austin,multi_blend_equal,,-0.6005
austin,multi_blend_equal,,-1.3205
austin,multi_blend_equal,,-0.8005
austin,multi_blend_equal,,-0.4205
austin,multi_blend_equal,,-0.8805
austin,multi_blend_equal,,0.2395
austin,multi_blend_equal,,-1.9205
austin,multi_blend_equal,,-0.4005
austin,multi_blend_equal,,-0.6605
austin,multi_blend_equal,,-0.6205
austin,multi_blend_equal,,-3.5405
austin,multi_blend_equal,,0.9795
austin,multi_blend_equal,,1.9195
austin,multi_blend_equal,,0.2195
austin,multi_blend_equal,,-0.2605
austin,multi_blend_equal,,-1.4805
austin,multi_blend_equal,,-1.3205
austin,multi_blend_equal,,0.3195
austin,multi_blend_equal,,1.5995
austin,multi_blend_equal,,-0.1605
austin,multi_blend_equal,,-0.6805
austin,multi_blend_equal,,0.0795
austin,multi_blend_equal,,1.7195
austin,multi_blend_equal,,0.6195
austin,multi_blend_equal,,0.0595
austin,multi_blend_equal,,-0.5605
austin,multi_blend_equal,,-0.5205
austin,multi_blend_equal,,0.2195
austin,multi_blend_equal,,-0.5805
austin,multi_blend_equal,,0.7595
austin,multi_blend_equal,,-0.8405
austin,multi_blend_equal,,-0.1205
austin,multi_blend_equal,,1.7395
austin,multi_blend_equal,,-0.7805
austin,multi_blend_equal,,-1.0005
austin,multi_blend_equal,,-3.2005
austin,multi_blend_equal,,1.4995
austin,multi_blend_equal,,2.6595
austin,multi_blend_equal,,1.6395
austin,multi_blend_equal,,0.4195
austin,multi_blend_equal,,-1.1605
austin,multi_blend_equal,,-0.1205
austin,multi_blend_equal,,1.1595
austin,multi_blend_equal,,1.0595
austin,multi_blend_equal,,-0.8005
austin,multi_blend_equal,,-1.4005
austin,multi_blend_equal,,1.6595
austin,multi_blend_equal,,0.9595
austin,multi_blend_equal,,3.5395
austin,multi_blend_equal,,1.5595
austin,multi_blend_equal,,0.5995
austin,multi_blend_equal,,0.0195
austin,multi_blend_equal,,0.2395
austin,multi_blend_equal,,1.8795
austin,multi_blend_equal,,-3.2005
austin,multi_blend_equal,,1.2395
austin,multi_blend_equal,,1.1795
austin,multi_blend_equal,,1.8595
austin,multi_blend_equal,,0.7395
austin,multi_blend_equal,,0.3395
austin,multi_blend_equal,,0.5595
austin,multi_blend_equal,,0.2195
austin,multi_blend_equal,,1.6395
austin,multi_blend_equal,,1.0395
austin,multi_blend_equal,,1.1195
austin,multi_blend_equal,,0.1395
austin,multi_blend_equal,,0.6595
austin,multi_blend_equal,,-0.1205
austin,multi_blend_equal,,0.5795
austin,multi_blend_equal,,0.3595
austin,multi_blend_equal,,0.4795
austin,multi_blend_equal,,1.5195
austin,multi_blend_equal,,1.7395
austin,multi_blend_equal,,1.1995
austin,multi_blend_equal,,0.1195
austin,multi_blend_equal,,0.5595
austin,multi_blend_equal,,0.1195
austin,multi_blend_equal,,1.0595
austin,multi_blend_equal,,-0.5205
austin,multi_blend_equal,,-0.5605
austin,multi_blend_equal,,-0.3005
austin,multi_blend_equal,,1.0395
austin,multi_blend_equal,,0.6995
austin,multi_blend_equal,,1.3195
austin,multi_blend_equal,,-0.4005
austin,multi_blend_equal,,0.7195
austin,multi_blend_equal,,0.4995
austin,multi_blend_equal,,-0.2005
austin,multi_blend_equal,,0.2195
austin,multi_blend_equal,,-0.1805
austin,multi_blend_equal,,-0.0805
austin,multi_blend_equal,,0.0195
austin,multi_blend_equal,,0.7795
austin,multi_blend_equal,,0.9395
austin,multi_blend_equal,,0.4395
austin,multi_blend_equal,,-0.1805
austin,multi_blend_equal,,-0.0205
austin,multi_blend_equal,,-0.1205
austin,multi_blend_equal,,-0.0405
austin,multi_blend_equal,,0.7595
austin,multi_blend_equal,,1.0795
austin,multi_blend_equal,,0.4395
austin,multi_blend_equal,,-1.3205
austin,multi_blend_equal,,0.7395
austin,multi_blend_equal,,2.0995
austin,multi_blend_equal,,2.0995
austin,multi_blend_equal,,0.4195
austin,multi_blend_equal,,0.0395
austin,multi_blend_equal,,0.0595
austin,multi_blend_equal,,-0.9605
austin,multi_blend_equal,,-0.6405
austin,multi_blend_equal,,-0.0805
austin,multi_blend_equal,,0.5395
austin,multi_blend_equal,,-0.3605
austin,multi_blend_equal,,-0.8405
austin,multi_blend_equal,,0.3395
austin,multi_blend_equal,,-0.7605
austin,multi_blend_equal,,-0.1805
austin,multi_blend_equal,,-0.8205
austin,multi_blend_equal,,1.0595
austin,multi_blend_equal,,-0.0005
austin,multi_blend_equal,,0.7395
austin,multi_blend_equal,,-0.2405
austin,multi_blend_equal,,-0.2805
austin,multi_blend_equal,,0.2195
austin,multi_blend_equal,,0.5195
austin,multi_blend_equal,,-0.2005
austin,multi_blend_equal,,0.6595
austin,multi_blend_equal,,2.4995
austin,multi_blend_equal,,-0.6005
austin,multi_blend_equal,,1.1595
austin,multi_blend_equal,,-1.1605
austin,multi_blend_equal,,1.5395
austin,multi_blend_equal,,1.1995
austin,multi_blend_equal,,0.6595
austin,multi_blend_equal,,1.5595
austin,multi_blend_equal,,0.3795
austin,multi_blend_equal,,1.6195
austin,multi_blend_equal,,-5.0805
austin,multi_blend_equal,,-3.5205
austin,multi_blend_equal,,0.3995
austin,multi_blend_equal,,-2.1605
austin,multi_blend_equal,,-1.0405
austin,multi_blend_equal,,-2.2805
austin,multi_blend_equal,,4.1395
austin,multi_blend_equal,,1.9995
austin,multi_blend_equal,,-0.0205
austin,multi_blend_equal,,1.0595
austin,multi_blend_equal,,-0.1405
austin,multi_blend_equal,,0.4395
austin,multi_blend_equal,,1.4995
austin,multi_blend_equal,,1.7795
austin,multi_blend_equal,,-1.5805
austin,multi_blend_equal,,-0.4205
austin,multi_blend_equal,,1.0795
austin,multi_blend_equal,,-0.1805
austin,multi_blend_equal,,0.0595
austin,multi_blend_equal,,0.6795
austin,multi_blend_equal,,-2.9005
austin,multi_blend_equal,,-0.3005
austin,multi_blend_equal,,-0.7205
austin,multi_blend_equal,,-0.8005
austin,multi_blend_equal,,0.3795
austin,multi_blend_equal,,-1.3005
austin,multi_blend_equal,,0.5195
austin,multi_blend_equal,,-0.4205
austin,multi_blend_equal,,-1.7005
austin,multi_blend_equal,,-5.3205
austin,multi_blend_equal,,-0.1805
austin,multi_blend_equal,,0.3195
austin,multi_blend_equal,,-0.5205
austin,multi_blend_equal,,0.8795
austin,multi_blend_equal,,-0.1005
austin,multi_blend_equal,,1.6395
austin,multi_blend_equal,,0.8395
austin,multi_blend_equal,,0.3995
austin,multi_blend_equal,,-1.0205
austin,multi_blend_equal,,-0.5405
austin,multi_blend_equal,,0.4395
austin,multi_blend_equal,,-2.7205
austin,multi_blend_equal,,-1.3005
austin,multi_blend_equal,,0.5195
austin,multi_blend_equal,,-0.6805
austin,multi_blend_equal,,-0.5405
austin,multi_blend_equal,,0.9395
austin,multi_blend_equal,,1.4195
austin,multi_blend_equal,,0.0195
austin,multi_blend_equal,,-0.2005
austin,multi_blend_equal,,-0.4405
austin,multi_blend_equal,,-1.1405
austin,multi_blend_equal,,1.3995
austin,multi_blend_equal,,1.3995
austin,multi_blend_equal,,-0.6405
austin,multi_blend_equal,,-8.2405
austin,multi_blend_equal,,-0.2805
austin,multi_blend_equal,,-0.8205
austin,multi_blend_equal,,2.5395
austin,multi_blend_equal,,0.0195
austin,multi_blend_equal,,1.8995
austin,multi_blend_equal,,-0.6205
austin,multi_blend_equal,,-0.2605
austin,multi_blend_equal,,0.2795
austin,multi_blend_equal,,-0.6405
austin,multi_blend_equal,,-1.0005
austin,multi_blend_equal,,0.7595
austin,multi_blend_equal,,-0.2205
austin,multi_blend_equal,,-0.0205
austin,multi_blend_equal,,0.8395
austin,multi_blend_equal,,0.1395
austin,multi_blend_equal,,-0.3605
austin,multi_blend_equal,,-3.8605
austin,multi_blend_equal,,0.0395
austin,multi_blend_equal,,-0.0005
austin,multi_blend_equal,,-0.0605
austin,multi_blend_equal,,0.8395
austin,multi_blend_equal,,0.0395
austin,multi_blend_equal,,1.2195
austin,multi_blend_equal,,0.1395
austin,multi_blend_equal,,-3.8405
austin,multi_blend_equal,,0.0995
austin,multi_blend_equal,,-1.6605
austin,multi_blend_equal,,1.8995
austin,multi_blend_equal,,-0.5205
austin,multi_blend_equal,,0.7195
austin,multi_blend_equal,,-0.2205
austin,multi_blend_equal,,0.9195
austin,multi_blend_equal,,-1.7405
austin,multi_blend_equal,,-0.4205
austin,multi_blend_equal,,0.5395
austin,multi_blend_equal,,0.3395
austin,multi_blend_equal,,0.1995
austin,multi_blend_equal,,0.7595
austin,multi_blend_equal,,1.0395
austin,multi_blend_equal,,2.1395
austin,multi_blend_equal,,0.4995
austin,multi_blend_equal,,-3.0805
austin,multi_blend_equal,,-0.3605
austin,multi_blend_equal,,0.4195
austin,multi_blend_equal,,2.5995
austin,multi_blend_equal,,3.2195
austin,multi_blend_equal,,-0.8805
austin,multi_blend_equal,,0.9995
austin,multi_blend_equal,,0.5795
austin,multi_blend_equal,,3.3995
austin,multi_blend_equal,,-1.2005
austin,multi_blend_equal,,-0.0605
austin,multi_blend_equal,,0.0395
austin,multi_blend_equal,,0.3995
austin,multi_blend_equal,,-0.3005
austin,multi_blend_equal,,-0.2405
austin,multi_blend_equal,,0.2195
austin,multi_blend_equal,,0.1795
austin,multi_blend_equal,,-0.1005
austin,multi_blend_equal,,-0.1205
austin,multi_blend_equal,,-0.7805
austin,multi_blend_equal,,0.6595
austin,multi_blend_equal,,1.4195
austin,multi_blend_equal,,0.0995
austin,multi_blend_equal,,1.1395
austin,multi_blend_equal,,1.1395
austin,multi_blend_equal,,0.7995
austin,multi_blend_equal,,1.0195
austin,multi_blend_equal,,-0.6405
austin,multi_blend_equal,,1.1195
austin,multi_blend_equal,,-0.9805
austin,multi_blend_equal,,0.2395
austin,multi_blend_equal,,0.7595
austin,multi_blend_equal,,0.2995
austin,multi_blend_equal,,1.5395
austin,multi_blend_equal,,1.4595
austin,multi_blend_equal,,2.5595
austin,multi_blend_equal,,2.9995
austin,multi_blend_equal,,2.7595
austin,multi_blend_equal,,1.7995
austin,multi_blend_equal,,0.4795
austin,multi_blend_equal,,0.4195
austin,multi_blend_equal,,-0.9605
austin,multi_blend_equal,,-2.3005
austin,multi_blend_equal,,0.4995
austin,multi_blend_equal,,-1.9005
