bucket,n,avg_model_prob_recal,avg_market_prob,avg_edge,hit_rate_yes,pnl_n_trades,pnl_win_rate,pnl_net
-15_to_-10,0,,,,,,,
-10_to_-7,20,0.01262381587569901,0.014499999999999999,-0.0018761841243009887,0.0,0,0.0,0.0
-7_to_-4,91,0.014565580716292601,0.05043956043956044,-0.03587397972326784,0.0,18,1.0,4.105166207567974
-4_to_-1,227,0.11006590904236296,0.181784140969163,-0.07171823192680005,0.030837004405286344,139,0.841726618705036,40.486648041024715
-1_to_+1,164,0.27736943479346376,0.3483841463414634,-0.07101471154799965,0.8292682926829268,133,0.3308270676691729,95.12693637896815
+1_to_+4,252,0.12137630750034023,0.18331349206349207,-0.06193718456315184,0.03571428571428571,146,0.7808219178082192,46.40186252823533
+4_to_+7,126,0.018503405408168475,0.03357142857142857,-0.0150680231632601,0.0,20,0.85,-0.5352871738686817
+7_to_+10,34,0.04665179010050097,0.039999999999999994,0.006651790100500971,0.029411764705882353,0,0.0,0.0
+10_to_+15,4,0.012104812112005195,0.005,0.0071048121120051945,0.0,0,0.0,0.0
